e, spectrum, unc
2.390000000000000124e+00,2.281625410181353472e+18,3.388729776764445305e+08
2.399999999999999911e+00,2.270156004237543424e+18,3.411733420730458498e+08
2.410000000000000142e+00,2.253428266582217216e+18,3.389540703626773953e+08
2.419999999999999929e+00,2.241114786516806656e+18,3.415297491548530459e+08
2.430000000000000160e+00,2.202283131923089408e+18,3.386044144953243136e+08
2.439999999999999947e+00,2.191692720960412416e+18,3.353080187354393005e+08
2.450000000000000178e+00,2.180855196956882176e+18,3.313073420403046608e+08
2.459999999999999964e+00,2.165905007891578112e+18,3.304559010410050750e+08
2.470000000000000195e+00,2.153656845428626944e+18,3.294886702381902337e+08
2.479999999999999982e+00,2.142586967680081408e+18,3.294988190998677015e+08
2.490000000000000213e+00,2.128019260681922560e+18,3.371216321749182940e+08
2.500000000000000000e+00,2.111566646589757952e+18,3.344106363548909426e+08
2.510000000000000231e+00,2.092851317528374784e+18,3.394620140058565736e+08
2.520000000000000018e+00,2.077068716510995456e+18,3.450788504385039210e+08
2.530000000000000249e+00,2.067215294877938688e+18,3.435837174908399582e+08
2.540000000000000036e+00,2.054582616139127296e+18,3.495617918476490974e+08
2.550000000000000266e+00,2.038892309881208320e+18,3.451386706793258786e+08
2.560000000000000053e+00,2.029191800281633536e+18,3.430031095798205733e+08
2.569999999999999840e+00,2.017715995151560192e+18,3.387750949636808634e+08
2.580000000000000071e+00,2.003957595366014976e+18,3.429526785110471249e+08
2.589999999999999858e+00,1.994623835024917760e+18,3.400306971960573196e+08
2.600000000000000089e+00,1.978857645145959424e+18,3.354188145573871732e+08
2.609999999999999876e+00,1.968038369856699648e+18,3.339998336731315255e+08
2.620000000000000107e+00,1.947498411772214016e+18,3.335860430475854278e+08
2.629999999999999893e+00,1.924845979056490240e+18,3.284409477390003800e+08
2.640000000000000124e+00,1.907011215923843328e+18,3.273614196067742109e+08
2.649999999999999911e+00,1.884853192530322432e+18,3.231297227119721770e+08
2.660000000000000142e+00,1.867314653604251648e+18,3.222750150185906291e+08
2.669999999999999929e+00,1.859466546947714304e+18,3.203393227714917660e+08
2.680000000000000160e+00,1.849599637310148096e+18,3.159653188142257929e+08
2.689999999999999947e+00,1.841379118344561152e+18,3.153858718460505009e+08
2.700000000000000178e+00,1.830517546213513984e+18,3.162973156655050516e+08
2.709999999999999964e+00,1.821277814535903488e+18,3.103188542037128210e+08
2.720000000000000195e+00,1.812644671086632704e+18,3.115656874265702367e+08
2.729999999999999982e+00,1.791770965662760448e+18,3.124627739042784572e+08
2.740000000000000213e+00,1.781682994958070528e+18,3.060575729056635499e+08
2.750000000000000000e+00,1.772034243865633024e+18,3.031149844406850338e+08
2.760000000000000231e+00,1.763889008718319616e+18,3.069429100176450610e+08
2.770000000000000018e+00,1.754143790366331392e+18,3.042486287439284325e+08
2.780000000000000249e+00,1.743848003344135936e+18,2.971394656975019574e+08
2.790000000000000036e+00,1.734563260207811072e+18,2.959535301475875974e+08
2.800000000000000266e+00,1.726335301108379392e+18,3.007175966299859285e+08
2.810000000000000053e+00,1.717768735409965568e+18,2.974472158914356828e+08
